env_name,train_seed,policy_id,policy_type,checkpoint_step,checkpoint_path,behavior_epsilon,eval_episodes,avg_return,success_rate,avg_episode_length,quality_bin,selected,notes
EnvB,0,envB_seed0_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed0_expert.pt,0.65,100,-0.0918,0.7000,79.18,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,1,envB_seed1_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed1_expert.pt,0.65,100,-0.2210,0.6100,83.10,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,2,envB_seed2_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed2_expert.pt,0.65,100,-0.1169,0.6900,80.69,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,3,envB_seed3_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed3_expert.pt,0.65,100,0.0479,0.8000,75.21,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,4,envB_seed4_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed4_expert.pt,0.65,100,0.0631,0.8400,77.69,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,5,envB_seed5_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed5_expert.pt,0.65,100,-0.0258,0.7700,79.58,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,6,envB_seed6_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed6_expert.pt,0.65,100,-0.0242,0.7600,78.42,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvB,7,envB_seed7_medium_support,dqn_epsilon_greedy,0,artifacts\behavior_pool\envB_seed7_expert.pt,0.65,100,-0.0252,0.7600,78.52,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.65); greedy_SR=1.000"
EnvC,0,envC_seed0_medium_support,dqn_epsilon_greedy,240000,artifacts\behavior_pool\envC_seed0_expert.pt,0.6,100,0.0994,0.7900,69.06,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.60); greedy_SR=1.000"
EnvC,1,envC_seed1_medium_support,dqn_epsilon_greedy,20000,artifacts\behavior_pool\envC_seed1_expert.pt,0.6,100,0.1423,0.8400,69.77,medium,yes,"controlled supplement; medium behavior defined by (checkpoint_path, behavior_epsilon=0.60); greedy_SR=1.000"
