dataset_name,env_name,target_transitions,actual_transitions,size_mode,coverage_mode,quality_bin,num_source_policies,source_policy_ids,generation_seed,file_path,normalized_state_coverage,normalized_state_action_coverage,avg_return,success_rate,avg_episode_length,status,notes
envB_small_wide_medium,EnvB,50000,50012,small,wide,medium,6,envB_seed0_medium_support;envB_seed1_medium_support;envB_seed2_medium_support;envB_seed3_medium_support;envB_seed4_medium_support;envB_seed5_medium_support,0,artifacts\final_datasets\envB_small_wide_medium.npz,0.993289,0.993289,-0.0521,0.7343,78.64,generated,
envB_large_narrow_medium,EnvB,200000,200014,large,narrow,medium,1,envB_seed0_medium_support,0,artifacts\final_datasets\envB_large_narrow_medium.npz,0.993289,0.993289,-0.0744,0.7165,79.09,generated,
envC_small_wide_medium,EnvC,50000,50046,small,wide,medium,6,envC_seed0_medium_support;envC_seed1_medium_support;envC_seed2_medium_support;envC_seed4_medium_support;envC_seed5_medium_support;envC_seed6_medium_support,0,artifacts\final_datasets\envC_small_wide_medium.npz,0.995726,0.983974,0.0532,0.7817,72.85,generated,
envC_large_narrow_medium,EnvC,200000,200025,large,narrow,medium,1,envC_seed0_medium_support,0,artifacts\final_datasets\envC_large_narrow_medium.npz,0.961538,0.884615,0.1061,0.8161,71.01,generated,
envA_v2_small_wide_medium,EnvA_v2,50000,50007,small,wide,medium,6,envA_v2_seed0_medium_controller;envA_v2_seed2_medium_controller;envA_v2_seed3_medium_controller;envA_v2_seed4_medium_controller;envA_v2_seed5_medium_controller;envA_v2_seed6_medium_controller,100,artifacts/final_datasets/envA_v2_small_wide_medium.npz,0.405970,0.205224,-0.1779,0.7481,92.61,generated,Clean Phase 5; deterministic round-robin; source=wide_medium; gen_seed=100
envA_v2_small_narrow_medium,EnvA_v2,50000,50082,small,narrow,medium,1,envA_v2_seed0_medium_controller,101,artifacts/final_datasets/envA_v2_small_narrow_medium.npz,0.119403,0.060075,-0.2269,0.7216,94.85,generated,Clean Phase 5; deterministic round-robin; source=narrow_medium; gen_seed=101
envA_v2_large_wide_medium,EnvA_v2,200000,200039,large,wide,medium,6,envA_v2_seed0_medium_controller;envA_v2_seed2_medium_controller;envA_v2_seed3_medium_controller;envA_v2_seed4_medium_controller;envA_v2_seed5_medium_controller;envA_v2_seed6_medium_controller,102,artifacts/final_datasets/envA_v2_large_wide_medium.npz,0.417910,0.212313,-0.1687,0.7600,92.87,generated,Clean Phase 5; deterministic round-robin; source=wide_medium; gen_seed=102
envA_v2_large_narrow_medium,EnvA_v2,200000,200094,large,narrow,medium,1,envA_v2_seed0_medium_controller,103,artifacts/final_datasets/envA_v2_large_narrow_medium.npz,0.119403,0.060075,-0.2228,0.7259,94.88,generated,Clean Phase 5; deterministic round-robin; source=narrow_medium; gen_seed=103
envA_v2_quality_random_wide50k,EnvA_v2,50000,50000,small,wide,random,1,envA_v2_random,110,artifacts/final_datasets/envA_v2_quality_random_wide50k.npz,0.438806,0.381716,-1.0000,0.0000,100.00,generated,Clean Phase 5; uniform random policy; gen_seed=110
envA_v2_quality_suboptimal_wide50k,EnvA_v2,50000,50085,small,wide,suboptimal,6,envA_v2_seed0_suboptimal_controller;envA_v2_seed2_suboptimal_controller;envA_v2_seed3_suboptimal_controller;envA_v2_seed4_suboptimal_controller;envA_v2_seed5_suboptimal_controller;envA_v2_seed6_suboptimal_controller,111,artifacts/final_datasets/envA_v2_quality_suboptimal_wide50k.npz,0.410448,0.207836,-0.5873,0.3872,97.44,generated,Clean Phase 5; deterministic round-robin; source=wide_suboptimal; gen_seed=111
envA_v2_quality_medium_wide50k,EnvA_v2,50000,50062,small,wide,medium,6,envA_v2_seed0_medium_controller;envA_v2_seed2_medium_controller;envA_v2_seed3_medium_controller;envA_v2_seed4_medium_controller;envA_v2_seed5_medium_controller;envA_v2_seed6_medium_controller,112,artifacts/final_datasets/envA_v2_quality_medium_wide50k.npz,0.410448,0.207836,-0.1926,0.7379,93.05,generated,Clean Phase 5; deterministic round-robin; source=wide_medium; gen_seed=112
envA_v2_quality_expert_wide50k,EnvA_v2,50000,50022,small,wide,expert,6,envA_v2_seed0_expert_controller;envA_v2_seed2_expert_controller;envA_v2_seed3_expert_controller;envA_v2_seed4_expert_controller;envA_v2_seed5_expert_controller;envA_v2_seed6_expert_controller,113,artifacts/final_datasets/envA_v2_quality_expert_wide50k.npz,0.388060,0.151493,0.2229,0.9774,75.45,generated,Clean Phase 5; deterministic round-robin; source=wide_expert; gen_seed=113
envA_v2_quality_mixed_wide50k,EnvA_v2,50000,50023,small,wide,mixed,13,envA_v2_random;envA_v2_seed0_medium_controller;envA_v2_seed2_medium_controller;envA_v2_seed3_medium_controller;envA_v2_seed4_medium_controller;envA_v2_seed5_medium_controller;envA_v2_seed6_medium_controller;envA_v2_seed0_expert_controller;envA_v2_seed2_expert_controller;envA_v2_seed3_expert_controller;envA_v2_seed4_expert_controller;envA_v2_seed5_expert_controller;envA_v2_seed6_expert_controller,114,artifacts/final_datasets/envA_v2_quality_mixed_wide50k.npz,0.604478,0.424627,-0.2851,0.6162,90.13,generated,Clean Phase 5; mixed tier cycle=random/medium/medium/expert; gen_seed=114
