dataset_name,algorithm,train_seed,num_updates,final_actor_loss,final_q_loss,final_value_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_wide_medium,iql,0,5000,0.495163,0.000250,0.000128,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed0.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,1,5000,0.590572,0.000225,0.000279,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed1.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,2,5000,0.511298,0.000232,0.000147,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed2.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,3,5000,0.541702,0.000453,0.000173,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed3.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,4,5000,0.543725,0.000559,0.000224,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed4.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,5,5000,0.589690,0.000242,0.000200,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed5.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,6,5000,0.586733,0.000524,0.000182,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed6.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,7,5000,0.599954,0.000429,0.000236,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed7.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,8,5000,0.514598,0.000224,0.000098,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed8.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,9,5000,0.583536,0.000236,0.000160,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed9.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
envA_v2_small_wide_medium,iql,10,5000,0.576996,0.000238,0.000167,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_small_wide_medium_iql_seed10.pt,completed,one-hot 900-d; discrete IQL main; frozen IQL config inherited from R1
