dataset_name,algorithm,train_seed,num_updates,final_actor_loss,final_q_loss,final_value_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_quality_random_wide50k,iql,0,5000,1.388335,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed0.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,1,5000,1.386294,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed1.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,2,5000,1.379085,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed2.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,3,5000,1.382555,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed3.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,4,5000,1.377531,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed4.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,5,5000,1.386669,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed5.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,6,5000,1.385694,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed6.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,7,5000,1.376346,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed7.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,8,5000,1.389127,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed8.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,9,5000,1.380296,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed9.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,10,5000,1.370881,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed10.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,11,5000,1.380445,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed11.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,12,5000,1.385227,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed12.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,13,5000,1.376754,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed13.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
envA_v2_quality_random_wide50k,iql,14,5000,1.378381,0.000000,0.000000,100,-1.0000,0.0000,100.00,artifacts/training_iql/envA_v2_quality_random_wide50k_iql_seed14.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=random; frozen IQL config from R1
