dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_wide_medium,bc,0,5000,0.495581,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed0.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,1,5000,0.589436,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed1.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,2,5000,0.511733,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed2.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,3,5000,0.543965,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed3.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,4,5000,0.543650,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed4.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,5,5000,0.590492,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed5.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,6,5000,0.585917,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed6.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,7,5000,0.599094,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed7.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,8,5000,0.517796,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed8.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,9,5000,0.584940,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed9.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_wide_medium,bc,10,5000,0.580419,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_bc_seed10.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
