dataset_name,quality_bin,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_quality_random_wide50k,random,bc,0,5000,1.387684,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed0.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,1,5000,1.387668,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed1.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,2,5000,1.380321,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed2.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,3,5000,1.381227,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed3.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,4,5000,1.380929,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed4.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,5,5000,1.388104,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed5.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,6,5000,1.385515,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed6.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,7,5000,1.377616,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed7.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,8,5000,1.387887,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed8.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,9,5000,1.380964,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed9.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,10,5000,1.367905,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed10.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,11,5000,1.376547,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed11.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,12,5000,1.385349,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed12.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,13,5000,1.375834,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed13.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,14,5000,1.378143,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed14.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,15,5000,1.386006,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed15.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,16,5000,1.372703,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed16.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,17,5000,1.391017,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed17.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,18,5000,1.384447,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed18.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,bc,19,5000,1.370346,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_bc_seed19.pt,completed,one-hot 900-d; quality sweep; frozen BC_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,cql,0,5000,1.388010,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_cql_seed0.pt,completed,one-hot 900-d; quality sweep; frozen CQL_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,cql,1,5000,1.386815,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_cql_seed1.pt,completed,one-hot 900-d; quality sweep; frozen CQL_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,cql,2,5000,1.384158,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_cql_seed2.pt,completed,one-hot 900-d; quality sweep; frozen CQL_CFG inherited from sanity
envA_v2_quality_random_wide50k,random,cql,3,5000,1.385331,100,-1.0000,0.0000,100.00,artifacts\training_quality\envA_v2_quality_random_wide50k_cql_seed3.pt,completed,one-hot 900-d; quality sweep; frozen CQL_CFG inherited from sanity
